university,ranking,tuition,percOfIntStud,acceptanceRate,safetyIndex,livingCost,rentCost,groceriesCost,recreationCost,healthcareCost,transportCost,link,Computer Science,Business,Economics,Psychology,Biology,Law,Medicine,Mathematics,Art,Physics
University of Zagreb,800,2000,10%,50%,75,600,300,200,80,150,30,https://www.unizg.hr/,1,1,1,1,1,1,1,1,1,1
University of Vienna,150,1500,25%,40%,80,900,600,250,100,200,30,https://www.univie.ac.at/,1,1,1,1,1,1,1,1,1,1
Technical University of Munich,50,3000,30%,8%,85,900,700,200,100,200,70,https://www.tum.de/,1,1,1,1,1,1,1,1,1,1
KU Leuven,80,4000,35%,50%,85,900,600,250,100,200,50,https://www.kuleuven.be/,1,1,1,1,1,1,1,1,1,1
The University of Melbourne,41,25000,48%,70%,85,1200,800,300,150,500,80,https://www.unimelb.edu.au/,1,1,1,1,1,1,1,1,1,1
University of Iceland,400,0,15%,60%,90,1100,800,300,150,300,50,https://english.hi.is/,1,1,1,1,1,1,1,1,1,1
Massachusetts Institute of Technology (MIT),1,53000,33%,7%,70,1800,1500,350,200,1200,90,https://www.mit.edu/,1,1,1,1,1,0,1,1,1,1
Imperial College London,7,35000,60%,14%,80,1500,1200,300,150,300,100,https://www.imperial.ac.uk/,1,1,1,1,1,0,1,1,1,1
University of Tirana,1500,1200,5%,60%,65,400,200,150,50,100,20,https://unitir.edu.al/,1,1,1,1,1,1,1,1,1,1
Belarusian State University,700,3000,10%,50%,70,500,250,200,80,150,30,https://www.bsu.by/,1,1,1,1,1,1,1,1,1,1
University of Sarajevo,2000,1500,8%,70%,65,450,200,150,60,100,25,https://www.unsa.ba/,1,1,1,1,1,1,1,1,1,1
University of Toronto,25,40000,25%,43%,80,1200,900,300,150,500,100,https://www.utoronto.ca/,1,1,1,1,1,1,1,1,1,1
Institute of Technology of Cambodia,5000,1000,5%,80%,60,300,150,100,30,50,15,https://itc.edu.kh/,1,1,0,0,1,0,0,1,0,1
Peking University,23,5000,15%,1%,75,600,400,200,80,200,30,https://www.pku.edu.cn/,1,1,1,1,1,1,1,1,1,1
Universidad de Costa Rica,1000,0,5%,50%,70,600,300,200,80,150,40,https://www.ucr.ac.cr/,1,1,1,1,1,1,1,1,1,1
University of Cyprus,500,8000,20%,30%,80,800,500,250,100,200,50,https://www.ucy.ac.cy/,1,1,1,1,1,1,1,1,1,1
University of Copenhagen,80,0,20%,40%,85,1100,700,300,150,200,60,https://www.ku.dk/,1,1,1,1,1,1,1,1,1,1
University of Tartu,300,4000,15%,50%,85,700,400,200,100,150,40,https://www.ut.ee/,1,1,1,1,1,1,1,1,1,1
University of Sciences and Technology Houari Boumediene,2000,500,3%,70%,55,350,150,120,40,80,15,https://www.usthb.dz/,1,1,1,0,1,1,1,1,0,1
Universidad de Buenos Aires,300,0,10%,30%,60,500,300,200,80,150,25,https://www.uba.ar/,1,1,1,1,1,1,1,1,1,1
Yerevan State University,1800,1500,8%,50%,70,300,150,100,30,50,10,https://www.ysu.am/,1,1,1,1,1,1,1,1,1,1
University of Zimbabwe,4000,1000,5%,60%,50,250,100,80,20,50,10,https://www.uz.ac.zw/,1,1,1,1,1,1,1,1,1,1
Duy Tan University,5000,2000,10%,80%,65,300,150,100,30,50,15,https://duytan.edu.vn/,1,1,0,0,1,0,0,1,0,1
Universidad Central de Venezuela,3000,0,5%,50%,45,200,100,80,20,30,10,https://www.ucv.ve/,1,1,1,1,1,1,1,1,1,1
Khalifa University,300,10000,30%,20%,85,1200,800,300,150,200,50,https://www.ku.ac.ae/,1,1,1,1,1,1,1,1,1,1
ETH Zurich,6,1500,37%,27%,90,1500,1000,300,150,200,70,https://ethz.ch/,1,1,1,1,1,1,1,1,1,1
KTH Royal Institute of Technology,100,15000,35%,30%,90,1100,700,250,100,200,60,https://www.kth.se/,1,1,1,1,1,1,1,1,1,1
University of Colombo,1500,1000,5%,50%,60,300,150,100,30,50,15,https://cmb.ac.lk/,1,1,1,1,1,1,1,1,1,1
Complutense University of Madrid,200,2000,15%,40%,75,800,500,200,80,150,40,https://www.ucm.es/,1,1,1,1,1,1,1,1,1,1
Seoul National University,41,6000,10%,20%,85,900,500,200,80,200,50,https://en.snu.ac.kr/,1,1,1,1,1,1,1,1,1,1
Baku State University,2500,1000,7%,65%,60,400,200,150,50,100,20,http://www.bsu.edu.az/,1,1,1,1,1,1,1,1,1,1
University of The Bahamas,5000,5000,15%,80%,75,800,500,200,100,300,50,https://www.ub.edu.bs/,0,1,1,0,0,1,0,0,0,0
Applied Science University,4000,6000,20%,50%,75,600,400,200,80,150,30,https://www.asu.edu.bh/,1,1,1,1,1,1,1,1,1,1
University of Dhaka,1200,500,2%,20%,50,250,100,80,20,50,10,https://www.du.ac.bd/,1,1,1,1,1,1,1,1,1,1
University of the West Indies,1500,3000,10%,50%,70,600,300,200,80,150,40,https://www.uwi.edu/,1,1,1,1,1,1,1,1,1,1
Universidad Mayor de San Andrés,3000,0,5%,60%,55,300,150,100,30,50,15,https://www.umsa.bo/,1,1,1,1,1,1,1,1,1,1
University of Botswana,2000,3000,5%,70%,65,400,200,150,50,100,20,https://www.ub.bw/,1,1,1,1,1,1,1,1,1,1
Universidade de São Paulo,150,0,5%,30%,60,600,300,200,80,150,30,https://www.usp.br/,1,1,1,1,1,1,1,1,1,1
Sofia University "St. Kliment Ohridski",1000,2000,10%,50%,75,500,250,150,60,100,25,https://www.uni-sofia.bg/,1,1,1,1,1,1,1,1,1,1
University of Yaounde I,4000,500,2%,80%,50,200,100,80,20,30,10,https://www.uy1.uninet.cm/,1,1,1,1,1,1,1,1,1,1
Pontificia Universidad Católica de Chile,150,7000,15%,30%,75,800,500,200,80,150,40,https://www.uc.cl/,1,1,1,1,1,1,1,1,1,1
Universidad de los Andes,300,7000,10%,30%,65,600,300,200,80,150,30,https://uniandes.edu.co/,1,1,1,1,1,1,1,1,1,1
